Date,Region,Sales Territory Key,Conditions,Precipitation (in),Snow (in),Max Temperature,Average Temperature,Min Temperature
2016-01-08,Canada,6,Rain,0.18,0,18,4.5,-9
2016-01-08,Canada,6,Snow,0.47,3,,,
2016-01-08,Central,3,Rain,7.63,0,44,,33
2016-01-08,France,7,Clear,0,0,46,41,36
2016-01-08,France,7,Rain,0.23,0,47,42,38
2016-01-08,Germany,8,Clear,0,0,42,36.5,29
2016-01-08,Germany,8,Rain,0.04,0,42,,27
2016-01-08,Northeast,2,Clear,0,0,42,38.5,21
2016-01-08,Northwest,1,Clear,0,0,45,,33
2016-01-08,Northwest,1,Rain,0.13,0,40,,32
2016-01-08,Southeast,5,Clear,0,0,76,71,62
2016-01-08,Southeast,5,Rain,0.19,0,79,,62
2016-01-08,Southwest,4,Clear,0,0,69,52,40
2016-01-08,Southwest,4,Rain,0.09,0,,,
2016-01-08,United Kingdom,10,Clear,0,0,,,
2016-01-08,United Kingdom,10,Rain,0.46,0,51,42,34
2016-01-09,Australia,9,Clear,0,0,69,53,52
2016-01-09,Canada,6,Clear,0,0,21,-12.2,9
2016-01-09,Canada,6,Rain,0.04,0,,,
2016-01-09,Canada,6,Snow,0.05,0,,,
2016-01-09,Central,3,Clear,0,0,33,,7
2016-01-09,Central,3,Rain,0.01,0,,,
2016-01-09,France,7,Clear,0,0,53,47,40
2016-01-09,France,7,Rain,0.13,0,53,46,37
2016-01-09,Germany,8,Clear,0,0,40,32.5,27
2016-01-09,Germany,8,Rain,0.02,0,,,
2016-01-09,Northeast,2,Clear,0,0,41,39,29
2016-01-09,Northeast,2,Rain,0.53,0,39,40,33
2016-01-09,Northeast,2,Snow,0.02,0,,,
2016-01-09,Northwest,1,Clear,0,0,47,,30
2016-01-09,Northwest,1,Rain,0.02,0,,,
2016-01-09,Southeast,5,Clear,0,0,82,74,64
2016-01-09,Southeast,5,Rain,0.05,0,80,,65
2016-01-09,Southwest,4,Clear,0,0,62,53,41
2016-01-09,Southwest,4,Rain,0.48,0,,,
2016-01-09,United Kingdom,10,Clear,0,0,,47,
2016-01-09,United Kingdom,10,Rain,1.1,0,47,,41
2016-01-10,Australia,9,Clear,0,0,82,53.33333333,51
2016-01-10,Canada,6,Clear,0,0,7,-16.5,-11
2016-01-10,Canada,6,Rain,0.54,0,40,-13,29
2016-01-10,Canada,6,Snow,0.04,0,,,
2016-01-10,Central,3,Clear,0,0,24,,3
2016-01-10,France,7,Rain,0.42,0,49,42.5,40
2016-01-10,Germany,8,Clear,,0,,32,
2016-01-10,Germany,8,Rain,1.45,0,37,34,27
2016-01-10,Northeast,2,Clear,0,0,48,43,32
2016-01-10,Northeast,2,Rain,21.41,0,52,45,35
2016-01-10,Northwest,1,Clear,0,0,47,,33
2016-01-10,Northwest,1,Rain,0.08,0,,,
2016-01-10,Southeast,5,Clear,0,0,,,
2016-01-10,Southeast,5,Rain,9.46,0,84,75,66
2016-01-10,Southwest,4,Clear,0,0,52,40,31
2016-01-10,United Kingdom,10,Clear,0,0,,,
2016-01-10,United Kingdom,10,Rain,2.3,0,45,43,41
2016-01-11,Australia,9,Clear,0,0,94,59,56
2016-01-11,Australia,9,Rain,2.01,0,44,,28
2016-01-11,Canada,6,Clear,0,0,56,-12,34
2016-01-11,Canada,6,Rain,1.95,0,35,-9.5,15
2016-01-11,Canada,6,Snow,0.16,1,-1,-11,-22
2016-01-11,Central,3,Clear,0,0,44,,23
2016-01-11,France,7,Clear,0,0,,,
2016-01-11,France,7,Rain,3.95,0,48,45,39
2016-01-11,Germany,8,Clear,,0,,36,
2016-01-11,Germany,8,Rain,2.78,0,38,38,34
2016-01-11,Northeast,2,Clear,0,0,51,40,23
2016-01-11,Northeast,2,Rain,63.17,0,55,41,31
2016-01-11,Northwest,1,Clear,0,0,39,,32
2016-01-11,Northwest,1,Rain,2.83,0,44,,32
2016-01-11,Southeast,5,Clear,0,0,83,,60
2016-01-11,Southeast,5,Rain,0.61,0,78,66,59
2016-01-11,Southwest,4,Clear,0,0,51,41,31
2016-01-11,United Kingdom,10,Clear,0,0,43,,40
2016-01-11,United Kingdom,10,Rain,0.47,0,45,43,41
2016-01-12,Australia,9,Clear,0,0,58,29,40
2016-01-12,Australia,9,Rain,2.48,0,81,70,58
2016-01-12,Canada,6,Clear,0,0,24,-10,6
2016-01-12,Canada,6,Rain,1.32,0,73,,59
2016-01-12,Canada,6,Snow,0.58,5,-2,-8.5,-15
2016-01-12,Central,3,Clear,0,0,36,,19
2016-01-12,France,7,Clear,0,0,,,
2016-01-12,France,7,Rain,0.12,0,47,43.5,40
2016-01-12,Germany,8,Clear,0,0,,36,
2016-01-12,Germany,8,Rain,1.79,0,40,38,34
2016-01-12,Northeast,2,Clear,0,0,36,,16
2016-01-12,Northeast,2,Rain,6.58,0,42,45,26
2016-01-12,Northeast,2,Snow,0.71,5,36,29,17
2016-01-12,Northwest,1,Clear,0,0,,,
2016-01-12,Northwest,1,Rain,23.82,0,45,,35
2016-01-12,Southeast,5,Clear,0,0,,,
2016-01-12,Southeast,5,Rain,5.99,0,69,62,58
2016-01-12,Southwest,4,Clear,0,0,57,44,31
2016-01-12,United Kingdom,10,Clear,0,0,,42,
2016-01-12,United Kingdom,10,Rain,0.22,0,44,,37
2016-01-13,Australia,9,Clear,0,0,103,65.66666667,56
2016-01-13,Australia,9,Rain,1.56,0,81,,48
2016-01-13,Australia,9,Snow,0.16,1,,,
2016-01-13,Canada,6,Clear,0,0,22,-7.66666667,0
2016-01-13,Canada,6,Rain,1.85,0,33,-8,23
2016-01-13,Canada,6,Snow,0.29,1,38,,22
2016-01-13,Central,3,Clear,0,0,55,,21
2016-01-13,France,7,Clear,0,0,45,41,36
2016-01-13,France,7,Rain,0.72,0,,,
2016-01-13,France,7,Snow,0.41,3,,,
2016-01-13,Germany,8,Clear,,0,,36,
2016-01-13,Germany,8,Rain,1.13,0,39,36,32
2016-01-13,Germany,8,Snow,0.21,2,,,
2016-01-13,Northeast,2,Clear,0,0,31,29,19
2016-01-13,Northeast,2,Rain,13.31,0,48,47,32
2016-01-13,Northeast,2,Snow,5.21,45,35,,18
2016-01-13,Northwest,1,Clear,0,0,43,,37
2016-01-13,Northwest,1,Rain,66.22,0,48,,40
2016-01-13,Southeast,5,Clear,0,0,71,65,59
2016-01-13,Southeast,5,Rain,0.56,0,65,,57
2016-01-13,Southwest,4,Clear,0,0,65,46,33
2016-01-13,Southwest,4,Rain,0.01,0,,,
2016-01-13,United Kingdom,10,Rain,1.02,0,41,40,35
2016-01-14,Australia,9,Clear,0,0,58,44,41
2016-01-14,Australia,9,Rain,6.55,0,66,59,60
2016-01-14,Canada,6,Clear,0,0,25,-5.2,11
2016-01-14,Canada,6,Rain,0.92,0,,,
2016-01-14,Canada,6,Snow,0,0,30,,18
2016-01-14,Central,3,Clear,0,0,58,,31
2016-01-14,France,7,Clear,0,0,47,41,38
2016-01-14,France,7,Rain,0.09,0,47,40,36
2016-01-14,Germany,8,Clear,0,0,40,34,29
2016-01-14,Germany,8,Rain,0.1,0,40,36,30
2016-01-14,Northeast,2,Clear,0,0,31,33,20
2016-01-14,Northeast,2,Rain,4.16,0,,,
2016-01-14,Northeast,2,Snow,0.01,0,,,
2016-01-14,Northwest,1,Clear,0,0,47,,32
2016-01-14,Northwest,1,Rain,27.78,0,44,,33
2016-01-14,Southeast,5,Clear,0,0,71,,59
2016-01-14,Southeast,5,Rain,0.2,0,72,67,62
2016-01-14,Southwest,4,Clear,0,0,67,54,38
2016-01-14,United Kingdom,10,Clear,0,0,42,,35
2016-01-14,United Kingdom,10,Rain,0.44,0,42,39,35
2016-01-15,Australia,9,Clear,0,0,57,36,39
2016-01-15,Australia,9,Rain,4.93,0,66,59,51
2016-01-15,Canada,6,Clear,0,0,15,-8,3
2016-01-15,Canada,6,Rain,0.15,0,75,,70
2016-01-15,Central,3,Clear,0,0,39,,23
2016-01-15,France,7,Clear,0,0,42,37,33
2016-01-15,France,7,Rain,0.11,0,42,38,36
2016-01-15,Germany,8,Clear,0,0,33,31,29
2016-01-15,Germany,8,Rain,0.1,0,34,32,29
2016-01-15,Northeast,2,Clear,0,0,35,31,18
2016-01-15,Northeast,2,Rain,0.86,0,47,40,34
2016-01-15,Northeast,2,Snow,0,0,,,
2016-01-15,Northwest,1,Clear,0,0,51,,28
2016-01-15,Northwest,1,Rain,2.98,0,44,,31
2016-01-15,Southeast,5,Clear,0,0,,,
2016-01-15,Southeast,5,Rain,4.66,0,75,72,63
2016-01-15,Southwest,4,Clear,0,0,69,58,43
2016-01-15,United Kingdom,10,Clear,0,0,41,,32
2016-01-15,United Kingdom,10,Rain,0.01,0,,37,
2016-01-16,Australia,9,Clear,0,0,70,26,44
2016-01-16,Australia,9,Rain,2.19,0,73,65,45
2016-01-16,Canada,6,Clear,0,0,6,-13.4,-6
2016-01-16,Canada,6,Rain,2.84,0,59,,44
2016-01-16,Canada,6,Snow,0.01,0,,,
2016-01-16,Central,3,Clear,0,0,37,,18
2016-01-16,France,7,Clear,0,0,43,35.5,31
2016-01-16,France,7,Rain,0.59,0,,,
2016-01-16,Germany,8,Clear,,0,,31,
2016-01-16,Germany,8,Rain,0.9,0,33,32,29
2016-01-16,Northeast,2,Clear,0,0,,,
2016-01-16,Northeast,2,Rain,32.95,0,42,42.5,29
2016-01-16,Northeast,2,Snow,1.22,2,39,,28
2016-01-16,Northwest,1,Rain,35.59,0,46,,37
2016-01-16,Southeast,5,Clear,0,0,,,
2016-01-16,Southeast,5,Rain,20.09,0,76,68,61
2016-01-16,Southwest,4,Clear,0,0,69,,43
2016-01-16,Southwest,4,Rain,0.03,0,64,47,36
2016-01-16,United Kingdom,10,Clear,0,0,,36,
2016-01-16,United Kingdom,10,Rain,0.74,0,39,,29
2016-01-17,Australia,9,Clear,0,0,90,79.5,54
2016-01-17,Australia,9,Rain,1.73,0,50,,44
2016-01-17,Australia,9,Snow,0,0,20,16,5
2016-01-17,Canada,6,Clear,0,0,19,-13.33333333,-5
2016-01-17,Canada,6,Rain,0.96,0,27,-12.5,13
2016-01-17,Canada,6,Snow,0.01,0,,,
2016-01-17,Central,3,Clear,0,0,22,,4
2016-01-17,Central,3,Rain,0.03,0,,,
2016-01-17,Central,3,Snow,0.04,0,20,,4
2016-01-17,France,7,Clear,0,0,41,36.5,28
2016-01-17,France,7,Rain,0.42,0,,,
2016-01-17,Germany,8,Clear,0,0,31,29,27
2016-01-17,Germany,8,Rain,0.15,0,31,30,27
2016-01-17,Northeast,2,Clear,0,0,37,,26
2016-01-17,Northeast,2,Rain,18.45,0,40,47,31
2016-01-17,Northeast,2,Snow,2.74,11,36,35,28
2016-01-17,Northwest,1,Rain,26.77,0,47,,39
2016-01-17,Southeast,5,Clear,0,0,77,,61
2016-01-17,Southeast,5,Rain,2.58,0,79,74,60
2016-01-17,Southwest,4,Clear,0,0,60,44,29
2016-01-17,Southwest,4,Rain,0.23,0,,,
2016-01-17,United Kingdom,10,Clear,0,0,39,,31
2016-01-17,United Kingdom,10,Rain,0.35,0,42,36,30
2016-01-18,Australia,9,Clear,0,0,91,54,57
2016-01-18,Australia,9,Rain,0.5,0,54,,42
2016-01-18,Australia,9,Snow,0.31,4,,,
2016-01-18,Canada,6,Clear,0,0,15,-4.5,2
2016-01-18,Canada,6,Rain,0.83,0,40,-3,25
2016-01-18,Canada,6,Snow,0.39,3,36,,24
2016-01-18,Central,3,Clear,0,0,29,,3
2016-01-18,France,7,Clear,0,0,35,30.5,28
2016-01-18,France,7,Snow,0.15,3,,,
2016-01-18,Germany,8,Clear,0,0,29,22.5,16
2016-01-18,Germany,8,Snow,0.14,3,,,
2016-01-18,Northeast,2,Clear,0,0,,,
2016-01-18,Northeast,2,Rain,5.96,0,38,47,28
2016-01-18,Northeast,2,Snow,9.73,163,32,27,22
2016-01-18,Northwest,1,Clear,0,0,47,,37
2016-01-18,Northwest,1,Rain,32.05,0,49,,39
2016-01-18,Southeast,5,Clear,0,0,69,61,56
2016-01-18,Southeast,5,Rain,1.22,0,78,,55
2016-01-18,Southwest,4,Clear,0,0,56,42,30
2016-01-18,United Kingdom,10,Clear,0,0,42,,34
2016-01-18,United Kingdom,10,Rain,0.41,0,,38,
2016-01-19,Australia,9,Clear,0,0,92,74,58
2016-01-19,Australia,9,Rain,0.4,0,46,,42
2016-01-19,Australia,9,Snow,0.08,1,27,24,22
2016-01-19,Canada,6,Clear,0,0,31,0,11
2016-01-19,Canada,6,Rain,0.06,0,,,
2016-01-19,Canada,6,Snow,0.03,0,,,
2016-01-19,Central,3,Clear,0,0,,,
2016-01-19,Central,3,Rain,0.02,0,27,,23
2016-01-19,Central,3,Snow,0.04,1,26,,21
2016-01-19,France,7,Clear,0,0,35,31.5,28
2016-01-19,Germany,8,Clear,0,0,27,18,12
2016-01-19,Germany,8,Rain,0.09,0,27,22,12
2016-01-19,Northeast,2,Clear,0,0,25,20,15
2016-01-19,Northeast,2,Rain,2.74,0,39,45,30
2016-01-19,Northeast,2,Snow,0.09,4,36,,13
2016-01-19,Northwest,1,Clear,0,0,46,,37
2016-01-19,Northwest,1,Rain,6.29,0,48,,38
2016-01-19,Southeast,5,Clear,0,0,66,59,54
2016-01-19,Southwest,4,Clear,0,0,61,49,34
2016-01-19,United Kingdom,10,Clear,0,0,45,33,26
2016-01-19,United Kingdom,10,Rain,0.08,0,45,,27
2016-01-20,Australia,9,Clear,0,0,81,,63
2016-01-20,Australia,9,Rain,2.91,0,83,71.5,61
2016-01-20,Australia,9,Snow,0,0,30,24,22
2016-01-20,Canada,6,Clear,0,0,41,10.5,31
2016-01-20,Canada,6,Rain,0.87,0,16,11,7
2016-01-20,Canada,6,Snow,0.27,0,18,14,11
2016-01-20,Central,3,Rain,0.3,0,30,,22
2016-01-20,Central,3,Snow,0.26,0,29,,21
2016-01-20,France,7,Clear,0,0,31,27,24
2016-01-20,Germany,8,Clear,0,0,32,28.5,24
2016-01-20,Germany,8,Rain,0.03,0,33,,23
2016-01-20,Northeast,2,Clear,0,0,28,24,16
2016-01-20,Northeast,2,Rain,5.21,0,50,44,41
2016-01-20,Northwest,1,Rain,35.96,0,47,,38
2016-01-20,Southeast,5,Clear,0,0,68,60,52
2016-01-20,Southwest,4,Clear,0,0,64,51,43
2016-01-20,United Kingdom,10,Clear,0,0,46,33,24
2016-01-20,United Kingdom,10,Rain,0.36,0,46,,24
2016-01-21,Australia,9,Clear,0,0,73,,62
2016-01-21,Australia,9,Rain,4.3,0,78,67.5,62
2016-01-21,Australia,9,Snow,0.09,1,28,27,22
2016-01-21,Canada,6,Clear,0,0,32,6.33333333,17
2016-01-21,Canada,6,Rain,1.66,0,39,6,22
2016-01-21,Canada,6,Snow,0.21,3,11,7,2
2016-01-21,Central,3,Clear,0,0,,,
2016-01-21,Central,3,Rain,0.12,0,29,,23
2016-01-21,Central,3,Snow,0.17,3,27,,22
2016-01-21,France,7,Clear,0,0,40,30,22
2016-01-21,Germany,8,Clear,0,0,29,25.5,16
2016-01-21,Northeast,2,Clear,0,0,32,27,16
2016-01-21,Northeast,2,Rain,14.33,0,51,47,44
2016-01-21,Northwest,1,Rain,79.02,0,48,,41
2016-01-21,Southeast,5,Clear,0,0,73,65,53
2016-01-21,Southeast,5,Rain,0.04,0,,,
2016-01-21,Southwest,4,Clear,0,0,,,
2016-01-21,Southwest,4,Rain,0.52,0,59,56,42
2016-01-21,United Kingdom,10,Clear,0,0,52,38,25
2016-01-21,United Kingdom,10,Rain,0.39,0,51,,29
2016-01-22,Australia,9,Clear,0,0,58,45.5,47
2016-01-22,Australia,9,Rain,3,0,71,66,59
2016-01-22,Canada,6,Clear,0,0,37,5.5,16
2016-01-22,Canada,6,Rain,1.68,0,36,6,21
2016-01-22,Canada,6,Snow,0.1,1,18,4,-9
2016-01-22,Central,3,Clear,0,0,31,,15
2016-01-22,Central,3,Rain,0.27,0,,,
2016-01-22,Central,3,Snow,0.28,6,,,
2016-01-22,France,7,Clear,0,0,,37,30
2016-01-22,France,7,Rain,0.12,0,45,35,28
2016-01-22,Germany,8,Clear,0,0,27,20,11
2016-01-22,Germany,8,Rain,0.02,0,27,,14
2016-01-22,Northeast,2,Clear,0,0,31,24,16
2016-01-22,Northeast,2,Rain,17.1,0,56,51,44
2016-01-22,Northwest,1,Rain,107.47,0,52,,42
2016-01-22,Southeast,5,Clear,0,0,73,,62
2016-01-22,Southeast,5,Rain,6.15,0,73,70,60
2016-01-22,Southwest,4,Clear,0,0,59,46,32
2016-01-22,Southwest,4,Rain,0.15,0,66,,37
2016-01-22,United Kingdom,10,Clear,0,0,,46,38
2016-01-22,United Kingdom,10,Rain,2.13,0,53,,36
2016-01-23,Australia,9,Clear,0,0,49,25,39
2016-01-23,Australia,9,Rain,12.26,0,71,64.5,59
2016-01-23,Canada,6,Clear,0,0,45,17,26
2016-01-23,Canada,6,Rain,3.41,0,40,19.5,30
2016-01-23,Canada,6,Snow,0.23,1,25,19,13
2016-01-23,Central,3,Clear,0,0,28,,17
2016-01-23,France,7,Clear,0,0,,,
2016-01-23,France,7,Rain,0.05,0,45,43.5,42
2016-01-23,Germany,8,Clear,0,0,,29,
2016-01-23,Germany,8,Rain,1.31,0,38,30,18
2016-01-23,Northeast,2,Clear,0,0,29,,17
2016-01-23,Northeast,2,Rain,5.43,0,38,45,32
2016-01-23,Northeast,2,Snow,2.07,25,31,29,21
2016-01-23,Northwest,1,Clear,,0,54,,42
2016-01-23,Northwest,1,Rain,22.57,0,49,,40
2016-01-23,Southeast,5,Clear,0,0,68,63,53
2016-01-23,Southeast,5,Rain,10.64,0,72,,59
2016-01-23,Southwest,4,Clear,0,0,55,40,28
2016-01-23,United Kingdom,10,Rain,0.37,0,58,45,40
2016-01-24,Australia,9,Clear,0,0,69,53.33333333,53
2016-01-24,Australia,9,Rain,2.14,0,68,,55
2016-01-24,Australia,9,Snow,0.53,8,,,
2016-01-24,Canada,6,Clear,0,0,41,17.25,24
2016-01-24,Canada,6,Rain,0.56,0,,,
2016-01-24,Canada,6,Snow,1.3,10,27,20,18
2016-01-24,Central,3,Clear,0,0,47,,19
2016-01-24,France,7,Clear,0,0,52,46,41
2016-01-24,France,7,Rain,0.02,0,52,47,43
2016-01-24,France,7,Snow,1.19,12,,,
2016-01-24,Germany,8,Clear,,0,,37,
2016-01-24,Germany,8,Rain,1.24,0,41,39,35
2016-01-24,Germany,8,Snow,0.12,1,,,
2016-01-24,Northeast,2,Clear,0,0,36,34.5,20
2016-01-24,Northeast,2,Rain,4.88,0,50,,39
2016-01-24,Northeast,2,Snow,14.56,156,33,,15
2016-01-24,Northwest,1,Clear,0,0,52,,37
2016-01-24,Northwest,1,Rain,37.77,0,45,,37
2016-01-24,Southeast,5,Clear,0,0,63,54,45
2016-01-24,Southeast,5,Rain,0.01,0,,,
2016-01-24,Southwest,4,Clear,0,0,61,46,28
2016-01-24,United Kingdom,10,Clear,0,0,55,,42
2016-01-24,United Kingdom,10,Rain,0.45,0,,54,46
2016-01-25,Australia,9,Clear,0,0,67,35,52
2016-01-25,Australia,9,Rain,0.61,0,72,66,60
2016-01-25,Canada,6,Clear,0,0,58,20,41
2016-01-25,Canada,6,Rain,0.15,0,24,21.5,19
2016-01-25,Canada,6,Snow,0.59,7,24,21,19
2016-01-25,Central,3,Clear,0,0,40,,30
2016-01-25,France,7,Clear,0,0,57,48,40
2016-01-25,Germany,8,Clear,0,0,49,45,38
2016-01-25,Germany,8,Rain,0.15,0,48,,38
2016-01-25,Northeast,2,Clear,0,0,39,37.5,19
2016-01-25,Northeast,2,Rain,0.09,0,,,
2016-01-25,Northwest,1,Clear,0,0,48,,34
2016-01-25,Northwest,1,Rain,0.66,0,51,,33
2016-01-25,Southeast,5,Clear,0,0,66,58,47
2016-01-25,Southeast,5,Rain,0.03,0,,,
2016-01-25,Southwest,4,Clear,0,0,70,62,38
2016-01-25,United Kingdom,10,Clear,0,0,55,52,49
